emp_no,first_name,last_name,from_date,salary,title
252235,Spyrose,Litzkow,1989-12-21,40000,Assistant Engineer
53573,Patricio,Middleton,1995-10-24,63129,Assistant Engineer
14039,Ugo,Butterworth,1999-11-09,55689,Assistant Engineer
53530,Gully,Pintelas,1998-10-19,54088,Assistant Engineer
228023,Hidefumi,Denna,1988-12-21,46717,Assistant Engineer
222924,Gor,Isard,1992-01-14,40000,Assistant Engineer
216948,Dhritiman,Vingron,1992-11-19,50354,Assistant Engineer
53526,Shigeo,Aloia,1998-10-01,62747,Assistant Engineer
228104,Barton,Bratsberg,1999-07-20,48037,Assistant Engineer
216947,Utz,Vernadat,2002-07-30,58691,Assistant Engineer
71998,Pranas,Lovengreen,1993-03-26,54808,Assistant Engineer
81008,Bartek,Heydon,1996-11-09,45306,Assistant Engineer
238404,Bojan,Ramras,1993-03-07,56517,Assistant Engineer
53455,Sariel,Deville,1995-01-04,40000,Assistant Engineer
80981,Fumitake,Niizuma,1993-11-18,40000,Assistant Engineer
53393,Huan,Shihab,1996-07-26,45216,Assistant Engineer
96000,Niranjan,Swab,1997-01-24,69634,Assistant Engineer
87442,Marjo,Jeong,1995-09-21,61671,Assistant Engineer
257097,Sudharsan,Zielinski,1986-07-22,40000,Assistant Engineer
238547,Sanjiv,Badr,1994-06-07,62807,Assistant Engineer
259895,Kwangsub,Rodier,1995-05-02,49024,Assistant Engineer
87415,Radhia,Thibadeau,1989-12-27,40000,Assistant Engineer
90009,Denny,Ozeki,1993-10-15,50992,Assistant Engineer
71875,Zvonko,Goldhammer,1996-06-12,45457,Assistant Engineer
10529,Ymte,Yetto,1999-06-12,47840,Assistant Engineer
25746,Arup,Azumi,1993-03-03,48070,Assistant Engineer
27403,Mamdouh,Hiroyama,1986-04-29,62351,Assistant Engineer
52902,Tayeb,Chinen,2002-05-10,60457,Assistant Engineer
52868,Aluzio,Keohane,1991-11-18,57960,Assistant Engineer
257209,Tamiya,Huhdanpaa,1987-07-15,40000,Assistant Engineer
90946,Arunas,Chaudhuri,1989-11-29,40000,Assistant Engineer
52733,Supot,Atrawala,1996-10-18,62659,Assistant Engineer
52637,Raimond,Wursthorn,1996-01-08,40000,Assistant Engineer
52628,Ranga,Leuchs,1993-03-23,67749,Assistant Engineer
52547,Yuchang,Cromarty,1995-09-07,40000,Assistant Engineer
214666,Srinidhi,Stassinopoulos,1997-08-07,52187,Assistant Engineer
257307,Godehard,Naumovich,1996-08-07,44353,Assistant Engineer
52523,Susanta,Picci,1995-09-24,55435,Assistant Engineer
214665,Mana,Eickenmeyer,1995-11-18,44406,Assistant Engineer
238946,Guoxiang,Luders,1997-03-13,52953,Assistant Engineer
52130,Kwangho,Besselaar,1993-12-11,49600,Assistant Engineer
89006,Adil,Otillio,1992-07-13,43612,Assistant Engineer
239163,Duro,Wossner,1990-01-30,40000,Assistant Engineer
239219,Shrikanth,Gajiwala,1998-07-03,62176,Assistant Engineer
239262,Selwyn,Erev,1994-05-02,65041,Assistant Engineer
51816,Berhard,Taneja,1994-01-08,40751,Assistant Engineer
239314,Jinya,Apsitis,1994-12-17,40000,Assistant Engineer
19617,Mircea,Landherr,1988-07-09,43394,Assistant Engineer
80564,Guoxiang,Meriste,1996-06-19,40000,Assistant Engineer
257450,Naftali,Anguita,1992-02-17,50473,Assistant Engineer
87211,Ohad,Masada,1988-12-15,68776,Assistant Engineer
261700,Mamdouh,Gronowski,1999-03-12,40000,Assistant Engineer
